file,masked_line_no,cntx_start,cntx_end,masked_line,prediction,whole_prediction,loss,generated_tokens,log_prob_scores,first_token_var,exact_match,num_generated_lines,log_seq_prob,normalized_seq_prob,generated_token_length,log_seq_prob_first_line,normalized_log_seq_prob_first_line,first_line_length,seq_prob_first_line_var,vul_label,mask_ast_complexity,pred_ast_complexity,first_line_pred_ast_complexity,mask_pred_ast_ratio,loss_to_pred_ratio,scaled_first_token_var,neg_exact_match,masked_line_token_length,length_ratio,lev_dist,lev_ratio,ast_dist,new_score
~/anvil/data/cve-targets/lua_repo_ldo.c,446,294,596,"** to be executed, if it was a Lua function. Otherwise (a C function)",** for the function to be called.,"** for the function to be called.
** If the called function is a C function, returns NULL.
** If the called function is a",1.54296875,"[[1068, 363, 278, 740, 304, 367, 2000, 29889, 13, 1068, 960, 278, 2000, 740, 338, 263, 315, 740, 29892, 3639, 4265, 29889, 13, 1068, 960, 278, 2000, 740, 338, 263]]","[-0.061448145657777786, -1.2090508937835693, -0.8090607523918152, -0.3498513400554657, -1.4400527477264404, -0.011637420393526554, -0.05086130648851395, -0.39013510942459106, -0.8341878652572632, -0.0031177031341940165, -0.9285393953323364, -1.2339880466461182, -1.0090426206588745, -0.0011987651232630014, -0.23628316819667816, -0.0877637043595314, -0.37390539050102234, -0.01928403042256832, -0.10959804803133011, -1.250414490699768, -0.17923776805400848, -0.780523955821991, -0.7039838433265686, -0.005293163936585188, -0.7841832637786865, -0.7654542326927185, -0.17840895056724548, -0.00448115449398756, -0.023481037467718124, -0.10633952170610428]",13.449650764465332,False,2.0,-13.940807836130261,-0.4646935945376754,30.0,-5.156285581178963,-0.5729206201309959,9.0,0.24588465369503235,0,24,39,10,0.6153846153846154,-2.6931632337603886,-1.06730161423885,True,19,0.6333333333333333,49.0,0.4117647058823529,21.0,2.285357529877957
~/anvil/data/cve-targets/sqlite3_repo_src_where.c,2442,2339,2707,"** However, the nIn multiplier should only be applied once, not once","** The following loop checks that pTerm is the first such term in use,","       ** The following loop checks that pTerm is the first such term in use,
        ** and sets nIn back to ",1.9345703125,"[[4706, 3579, 450, 1494, 2425, 12747, 393, 282, 14343, 338, 278, 937, 1316, 1840, 297, 671, 29892, 13, 4706, 3579, 322, 6166, 302, 797, 1250, 304, 29871]]","[-0.0017832106677815318, -0.005051943473517895, -1.915365219116211, -2.0879340171813965, -0.33656179904937744, -1.321513295173645, -0.18168431520462036, -0.30920344591140747, -0.0241754949092865, -0.04661451280117035, -0.15185090899467468, -0.05246951803565025, -0.36319229006767273, -0.0303655993193388, -0.2817955017089844, -0.5717993974685669, -0.19512364268302917, -0.04820264130830765, -6.69933797325939e-05, -2.9444261599564925e-05, -0.014010880142450333, -0.03034767508506775, -0.00610344810411334, -0.0005359405186027288, -0.013271565549075603, -0.0005304598016664386, -0.009172089397907257]",10.95608139038086,False,1.0,-7.998755249314854,-0.2962501944190687,27.0,-7.924753746454371,-0.4170923024449669,19.0,0.3852218057749017,0,18,28,17,0.6428571428571429,-4.638230677381672,-1.0027982809349567,True,16,0.5925925925925926,56.0,0.37681159420289856,18.0,2.4997318280442102
~/anvil/data/cve-targets/php_repo_ext_standard_dns.c,417,394,729,CHECKCP(dlen);,if (dlen < 0 || dlen > (int)(,	if (dlen < 0 || dlen > (int)(,0.52099609375,"[[12, 361, 313, 29881, 2435, 529, 29871, 29900, 3830, 270, 2435, 1405, 313, 524, 5033]]","[-0.08348917216062546, -0.4511461853981018, -0.1485808938741684, -0.4772357940673828, -0.0008261366747319698, -1.0309436321258545, -0.04371016100049019, -0.08068956434726715, -0.27549827098846436, -1.0645302534103394, -0.046343449503183365, -0.08765526860952377, -0.517858624458313, -0.8743802309036255, -0.29672378301620483]",9.183220863342283,False,0.0,-5.479611420538276,-0.3653074280358851,15.0,-5.479611420538276,-0.3653074280358851,15.0,0.12463841051657666,1,9,15,15,0.6,-1.4261853271125413,-1.0424014523894773,True,6,0.4,24.0,0.2790697674418605,14.0,2.025873086717959
~/anvil/data/cve-targets/php_repo_ext_phar_phar.c,976,635,1125,if (buffer + 4 > endbuffer) {,if (buffer + 20 > endbuffer) {,		if (buffer + 20 > endbuffer) {,0.3759765625,"[[12, 12, 361, 313, 9040, 718, 29871, 29906, 29900, 1405, 1095, 9040, 29897, 426, 32010, 2]]","[-0.014336677268147469, -0.0003532739356160164, -0.6765839457511902, -0.07165024429559708, -0.1268032044172287, -0.04543813318014145, -0.06908607482910156, -0.6361841559410095, -0.1351403445005417, -0.046889252960681915, -0.002367552602663636, -0.00010048838157672435, -0.022531813010573387, -0.012009929865598679, -0.2817251682281494, -1.1920922133867862e-06]",11.975869178771973,False,0.0,-2.141201451260031,-0.13382509070375193,16.0,-1.859475090939668,-0.13281964935283344,14.0,0.047492594463474,1,16,16,16,1.0,-2.830729973554017,-1.028693003413698,True,11,0.6875,2.0,0.9491525423728814,1.0,2.1269254272723663
~/anvil/data/cve-targets/sqlite3_repo_src_shell.c.in,3423,3271,3573,sqlite3_finalize(pStmt);,sqlite3_finalize(pStmt);," sqlite3_finalize(pStmt);
  if( nCol==",0.016204833984375,"[[29871, 21120, 29941, 29918, 8394, 675, 29898, 29886, 855, 4378, 416, 13, 29871, 565, 29898, 302, 1625, 1360]]","[-0.004264309536665678, -0.16989733278751373, -0.00022027450904715806, -6.9141146923357155e-06, -0.0035896170884370804, -8.344646857949556e-07, -7.438383181579411e-05, -8.749579137656838e-05, -2.2411095415009186e-05, 0.0, -1.811964830267243e-05, -0.31087765097618103, -0.011338558979332447, -0.19725573062896729, -0.0009348789462819695, -0.3421548306941986, -0.5055239200592041, -0.2573081851005554]",12.10433578491211,True,1.0,-1.8035754482526727,-0.10019863601403738,18.0,-0.5003979028234653,-0.04169982523528878,12.0,0.008185255649256967,1,9,13,9,0.6923076923076923,-0.38860676017082063,-1.0320021319484023,False,10,0.5555555555555556,0.0,1.0,0.0,0.9755233758972528
~/anvil/data/cve-targets/poppler_repo_poppler_XRef.cc,672,599,676,trailerDict = xrefStr->getDictObject()->copy();,"error(errSyntaxError, -1, ""Missing trailer dictionary"");","       error(errSyntaxError, -1, ""Missing trailer dictionary"");
        return false;
   ",1.517578125,"[[4706, 1059, 29898, 3127, 16676, 2392, 29892, 448, 29896, 29892, 376, 18552, 292, 1020, 3955, 8600, 1496, 13, 4706, 736, 2089, 29936, 13, 1678]]","[-0.0025424794293940067, -0.8245439529418945, -0.009153662249445915, -0.0010083595989271998, -0.0028443378396332264, -0.06017056852579117, -0.0002989322238136083, -0.015545854344964027, -0.0001225396408699453, -0.00025459862081333995, -0.014496481977403164, -0.517897367477417, -0.00021872512297704816, -0.32656192779541016, -0.0006736631621606648, -0.2698763906955719, -0.14185325801372528, -0.023931453004479408, -0.21749378740787506, -0.12776915729045868, -0.04998910054564476, -0.00018153927521780133, -0.2973792254924774, -0.0004447901446837932]",7.279974937438965,False,2.0,-2.905252152821049,-0.12105217303421038,24.0,-2.4294883400725666,-0.12786780737224035,19.0,0.046793893935756704,0,21,20,16,1.05,-11.868336183963226,-1.0931990305685333,True,14,0.5833333333333334,44.0,0.3495145631067961,18.0,2.160085554634482
~/anvil/data/cve-targets/libxml2_repo_xmlregexp.c,4854,4777,4859,} else {,return;,"	return;
    }
",0.2802734375,"[[12, 2457, 29936, 13, 1678, 500, 13]]","[-0.5106067061424255, -0.11299644410610199, -0.0006655623437836766, -0.010505139827728271, -0.0008727079257369041, -0.00019274283840786666, -0.2866622507572174]",12.719432830810549,False,2.0,-0.9225015539414017,-0.13178593627734309,7.0,-0.6356465603457764,-0.1271293120691553,5.0,0.038557931471502924,1,4,5,4,0.8,-2.204632692006844,-1.0479943126738263,True,3,0.42857142857142855,7.0,0.1333333333333333,4.0,1.9096391532728383
~/anvil/data/cve-targets/libpng_repo_pngrutil.c,2634,2605,2642,limit = limit < idat_limit? idat_limit : limit;,if (idat_limit < limit),"     if (idat_limit < limit)
         limit = idat_limit;",0.33447265625,"[[418, 565, 313, 333, 271, 29918, 13400, 529, 4046, 29897, 13, 308, 4046, 353, 1178, 271, 29918, 13400, 29936, 32010, 2]]","[-0.1487131267786026, -0.21659012138843536, -0.01223416905850172, -0.831522524356842, -2.1219027985353023e-05, -8.260862523457035e-05, -2.6940935640595853e-05, -0.336168110370636, -0.5560176372528076, -0.010901536792516708, -0.08474192023277283, -0.023789796978235245, -0.003929632715880871, -0.0719025507569313, -0.011142883449792862, -3.0278701160568744e-05, -8.22540732769994e-06, -4.410734163684538e-06, -0.0024518687278032303, -0.17215459048748016, -7.152555099310121e-07]",8.199636459350586,False,1.0,-2.482434868034261,-0.11821118419210766,21.0,-2.2208097117982106,-0.1850674759831842,12.0,0.06496976837660519,0,15,16,12,0.9375,-1.807301118000827,-1.0683514401725238,True,16,0.7619047619047619,28.0,0.5428571428571429,14.0,1.9754874641863271
~/anvil/data/cve-targets/openssl_repo_crypto_asn1_tasn_dec.c,816,763,890,case V_ASN1_NEG_ENUMERATED:,if (!ossl_c2i_ASN1_INTEGER((ASN1_INTEGER **),       if (!ossl_c2i_ASN1_INTEGER((ASN1_INTEGER **),0.409912109375,"[[4706, 565, 5384, 2209, 29880, 29918, 29883, 29906, 29875, 29918, 3289, 29940, 29896, 29918, 1177, 4330, 17070, 3552, 3289, 29940, 29896, 29918, 1177, 4330, 17070, 3579, 29897]]","[-0.2744007706642151, -0.7516156435012817, -0.5921909809112549, -0.009874898009002209, -0.0011378012131899595, -1.1205610462639015e-05, -0.0032528128940612078, -3.349725011503324e-05, -2.825220326485578e-05, -1.3947389561508317e-05, -0.013471176847815514, -5.483612312673358e-06, -2.7418097943154862e-06, -1.764281842042692e-05, -0.08875184506177902, -2.145764938177308e-06, -1.2755313036905136e-05, -0.3420996367931366, -0.0006976078147999942, -5.006777428206988e-06, -7.629365427419543e-06, -3.576272320060525e-06, -0.00030751267331652343, -9.536738616588991e-07, -1.311301275563892e-06, -9.893881360767409e-05, -0.003795088967308402]",11.97082805633545,False,0.0,-2.0818408633269883,-0.07710521716025882,27.0,-2.0818408633269883,-0.07710521716025882,27.0,0.035392819784084366,1,5,14,14,0.35714285714285715,-5.316269436386139,-1.0285633673982626,True,16,0.5925925925925926,31.0,0.4225352112676056,14.0,2.0080909812503522
~/anvil/data/cve-targets/poppler_repo_poppler_Parser.cc,270,191,287,"str = baseStr->makeSubStream(pos, true, length, std::move(dict));","str = new BaseStream(baseStr, dict, pos, length);","   str = new BaseStream(baseStr, dict, pos, length);",0.95166015625,"[[1678, 851, 353, 716, 7399, 3835, 29898, 3188, 5015, 29892, 9657, 29892, 926, 29892, 3309, 416, 32010, 2]]","[-0.00458071893081069, -1.0194718837738037, -0.03797450661659241, -0.493289589881897, -0.1573180854320526, -0.0019832244142889977, -0.08045761287212372, -0.3681490421295166, -0.00011240804451517761, -0.050370264798402786, -1.2043765783309937, -0.6097376346588135, -1.0021498203277588, -0.10035496205091476, -0.20810304582118988, -0.6303098201751709, -0.38268619775772095, -8.344646857949556e-07]",13.258257865905762,False,0.0,-6.351426230481252,-0.352857012804514,18.0,-5.968739198258845,-0.3730461998911778,16.0,0.15650487493090381,0,29,19,19,1.5263157894736843,-2.551051737097472,-1.0622069637182803,True,21,1.1666666666666667,37.0,0.543859649122807,17.0,2.259417371322151
