file,masked_line_no,cntx_start,cntx_end,masked_line,prediction,whole_prediction,loss,generated_tokens,log_prob_scores,first_token_var,exact_match,num_generated_lines,log_seq_prob,normalized_seq_prob,generated_token_length,log_seq_prob_first_line,normalized_log_seq_prob_first_line,first_line_length,seq_prob_first_line_var,vul_label,mask_ast_complexity,pred_ast_complexity,first_line_pred_ast_complexity,mask_pred_ast_ratio,loss_to_pred_ratio,scaled_first_token_var,neg_exact_match,masked_line_token_length,length_ratio,lev_dist,lev_ratio,ast_dist,new_score
~/anvil/data/cve-targets/openssl_repo_ssl_record_rec_layer_s3.c,798,589,1025,|| (eivlen > 0,```c,"```c
                    && !WPACKET_allocate_bytes(thispkt",1.951171875,"[[73594, 66, 198, 503, 1009, 753, 54, 17279, 1348, 77078, 12524, 1394, 46775]]","[-0.03544332832098007, -7.986990567587782e-06, -3.576278118089249e-07, -0.8895238637924194, -0.43925535678863525, -0.0001294529065489769, -1.549708758830093e-05, -1.1205610462639015e-05, -1.4305104514278355e-06, -0.012684734538197517, -5.722029527532868e-06, -7.152555099310121e-07, -1.0847986231965479e-05]",5.350485801696777,False,1.0,-1.3770904994449324,-0.10593003841884095,13.0,-0.9249755367317789,-0.23124388418294473,4.0,0.1446534994886307,0,7,7,2,1.0,-8.437723150577954,-1.146139966832048,True,8,0.6153846153846154,14.0,0.0,6.0,1.9838019850712525
~/anvil/data/cve-targets/php_repo_ext_phar_phar.c,1513,1391,1530,},```c,"```c
	",7.875,"[[73594, 66, 198, 197]]","[-0.19004663825035095, -1.1920928244535389e-07, -2.50339189733495e-06, -1.1539065837860107]",17.82717514038086,False,1.0,-1.3439558446375415,-0.33598896115938537,4.0,-1.3439558446375415,-0.33598896115938537,4.0,0.22901595018434773,0,2,2,2,1.0,-23.43827003371186,-1.1918628312011967,True,1,0.25,4.0,0.0,2.0,2.0428363647285392
~/anvil/data/cve-targets/php_repo_ext_phar_util.c,254,206,284,return ret;,```c,"```c
return ret;
",0.10601806640625,"[[73594, 66, 198, 689, 2112, 280]]","[-0.6910828351974487, -1.3947389561508317e-05, -9.059865078597795e-06, -0.20514696836471558, -0.5553792119026184, 0.0]",7.644656658172607,False,2.0,-1.4516320227194228,-0.24193867045323714,6.0,-0.6911058424520888,-0.2303686141506963,3.0,0.10612879674133925,0,5,6,2,0.8333333333333334,-0.46021054906766934,-1.0822535359214107,True,3,0.5,11.0,0.0,4.0,1.9672172363482259
~/anvil/data/cve-targets/sqlite3_repo_src_whereexpr.c,1369,985,1371,*/,```c,"```c
",27.125,"[[73594, 66, 198]]","[-0.010282753966748714, -1.6689286894688848e-06, -7.510157047363464e-06]",16.83147430419922,False,1.0,-0.010291933052485547,-0.0034306443508285156,3.0,-0.010291933052485547,-0.0034306443508285156,3.0,2.347570878095115e-05,1,3,2,2,1.5,-7906.6779374694415,-1.162560577293375,True,1,0.3333333333333333,4.0,0.0,2.0,2.5819819701401854
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_predict.c,343,335,352,tmsize_t wc = cc / 4;,uint32_t* wp_end = wp + cc / 4;,uint32_t* wp_end = wp + cc / 4;,0.1405029296875,"[[2496, 18, 17, 528, 9, 12609, 6213, 284, 12609, 488, 12527, 608, 220, 19, 26, 151645]]","[-0.7688786387443542, -1.311301275563892e-06, 0.0, -1.1920928244535389e-07, -0.157383993268013, -0.25222402811050415, -0.04847399517893791, 0.0, -0.0025274972431361675, 0.0, -0.22220279276371002, -0.0027192779816687107, -0.023042185232043266, 0.0, -0.20833063125610352, -0.08405496925115585]",4.705627918243408,False,0.0,-1.7698394395401849,-0.11061496497126155,16.0,-1.685784470289029,-0.153253133662639,11.0,0.039051551803335006,1,11,16,16,0.6875,-0.9168029803344417,-1.1647671467752103,True,11,0.6875,17.0,0.5769230769230769,7.0,1.966112948116504
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_pixarlog.c,877,866,919,: LogK1*log(v*LogK2) + 0.5 ),"REPEAT(stride, r2 = wp[0] = (uint16_t) CLAMP(ip[0]); wp++;","REPEAT(stride, r2 = wp[0] = (uint16_t) CLAMP(ip[0]); wp++;",4.30078125,"[[787, 47017, 4199, 577, 11, 435, 17, 284, 12609, 58, 15, 60, 284, 320, 2496, 16, 21, 528, 8, 6976, 16024, 23443, 58, 15, 14979, 12609, 19581]]","[-0.16241176426410675, -1.7165990357170813e-05, -0.003077772678807378, -2.3841855067985307e-07, -2.3841855067985307e-07, -0.3185190260410309, -0.0006416169344447553, -1.1920928244535389e-07, -0.38896241784095764, -0.00011729506513802335, 0.0, -7.510157047363464e-06, -1.1920928244535389e-07, 0.0, -9.536738616588991e-07, 0.0, 0.0, 0.0, 0.0, -0.0003868784988299012, -2.3483953555114567e-05, -1.3947389561508317e-05, 0.0, 0.0, -6.985420623095706e-05, -0.01169845461845398, -1.5735502529423684e-05]",11.206964492797852,False,0.0,-0.8859645920705788,-0.032813503410021434,27.0,-0.8859645920705788,-0.04662971537213573,19.0,0.009266630344704062,0,18,42,42,0.42857142857142855,-92.2326292510461,-1.0100625113224366,True,17,0.6296296296296297,52.0,0.16279069767441856,38.0,2.2859284379242326
~/anvil/data/cve-targets/sqlite3_repo_src_build.c,2315,2288,2556,if( db->init.busy ){,```c,"```c
  if( pEnd && pEnd->z",0.9287109375,"[[73594, 66, 198, 220, 421, 7, 281, 3727, 1009, 281, 3727, 405, 89]]","[-0.003240930614992976, -5.245195097813848e-06, -1.0728830375228426e-06, -0.03623059019446373, -0.5122655630111694, -7.152555099310121e-07, -0.09035291522741318, -0.7733350396156311, -0.827355682849884, -0.006945751141756773, -0.5867053270339966, -0.007658288348466158, -9.858122211880982e-05]",15.111892700195312,False,1.0,-2.844195702593538,-0.21878428481488754,13.0,-0.03947783888759204,-0.00986945972189801,4.0,0.00023338359623621278,1,16,11,2,1.4545454545454546,-94.09947085952524,-1.1136416671516707,True,8,0.6153846153846154,20.0,0.0,15.0,2.087008919073681
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,3659,3617,3700,if (pos+length>=ImageInfo->Thumbnail.size) {,pos += length;,pos += length;,1.5634765625,"[[966, 1421, 3084, 26, 151645]]","[-0.21350924670696259, -5.364403477869928e-06, -0.002743292599916458, -0.00030155404238030314, -2.038458114839159e-05]",6.737086296081543,False,0.0,-0.2165798423338856,-0.04331596846677712,5.0,-0.21655945775273722,-0.054139864438184304,4.0,0.008467328840435195,1,22,7,7,3.142857142857143,-28.87847205980988,-1.1070897590383084,True,13,2.6,37.0,0.3448275862068966,19.0,2.1773454918903723
~/anvil/data/cve-targets/poppler_repo_poppler_GfxState.cc,519,511,523,*out++ = 0;,*out++ = 0;,        *out++ = 0;,0.058074951171875,"[[286, 353, 411, 1027, 284, 220, 15, 26, 151645]]","[-0.003469521179795265, 0.0, -2.3841855067985307e-07, 0.0, 0.0, -4.970903682988137e-05, -0.36089128255844116, -0.0001003691868390888, -0.0001062098381225951]",17.398496627807617,True,0.0,-0.3646173302185787,-0.040513036690953186,9.0,-0.3645111203804561,-0.07290222407609122,5.0,0.0142057529173482,0,11,11,11,1.0,-0.7966142584519733,-1.1791578823916056,False,6,0.6666666666666666,0.0,1.0,0.0,0.9517188179695044
~/anvil/data/cve-targets/libsndfile_repo_src_common.c,598,470,684,"header_put_le_int (psf, size) ;","header_put_le_int (psf, size) ;","header_put_le_int (psf, size) ;",0.143310546875,"[[2708, 15557, 11751, 4042, 320, 1690, 69, 11, 1379, 8, 2587, 151645]]","[-0.024897143244743347, -1.2040065485052764e-05, -9.417489309271332e-06, -1.311301275563892e-06, 0.0, -4.768370445162873e-07, 0.0, 0.0, -5.483612312673358e-06, -1.1801649634435307e-05, -0.0029786527156829834, -1.4781842764932662e-05]",9.24276065826416,True,0.0,-0.027931108758252776,-0.0023275923965210645,12.0,-0.027916326915487844,-0.0034895408644359804,8.0,5.0717557001866304e-05,1,11,11,11,1.0,-41.06859682761259,-1.0398670563264933,False,11,0.9166666666666666,0.0,1.0,0.0,1.0724276058607523
