file,masked_line_no,cntx_start,cntx_end,masked_line,prediction,whole_prediction,loss,generated_tokens,log_prob_scores,first_token_var,exact_match,num_generated_lines,log_seq_prob,normalized_seq_prob,generated_token_length,log_seq_prob_first_line,normalized_log_seq_prob_first_line,first_line_length,seq_prob_first_line_var,vul_label,mask_ast_complexity,pred_ast_complexity,first_line_pred_ast_complexity,mask_pred_ast_ratio,loss_to_pred_ratio,scaled_first_token_var,neg_exact_match,masked_line_token_length,length_ratio,lev_dist,lev_ratio,ast_dist,new_score
~/anvil/data/cve-targets/php_repo_ext_phar_util.c,1445,1252,1478,PHP_MD5_CTX   context;,PHP_MD5_CTX  context;,			PHP_MD5_CTX  context;,0.0055557480081915,"[[298, 10025, 6610, 46497, 20, 44233, 220, 2266, 26, 151664]]","[-0.007079871371388435, -0.015564984641969204, -0.0035858158953487873, -0.00154518848285079, -0.0015528061194345355, -0.0015434031374752522, -0.3498998284339905, -0.0002445875434204936, -0.012184119783341885, -0.055984627455472946]",8.239582061767578,False,0.0,-0.4491852328646928,-0.04491852328646928,10.0,-0.39320060540921986,-0.043688956156579986,9.0,0.011745812314927268,1,5,5,5,1.0,-0.127165959019022,-1.0478886266669716,True,7,0.7,1.0,0.9767441860465116,0.0,1.8912191792341706
~/anvil/data/cve-targets/php_repo_ext_phar_phar.c,2336,2181,2486,},},"	}
	if",2.3723864555358887,"[[197, 532, 743]]","[-0.02473573572933674, -1.3578754663467407, -0.9225490689277649]",7.577083110809326,True,1.0,-2.3051602710038424,-0.7683867570012808,3.0,-1.3826112020760775,-0.6913056010380387,2.0,0.44431538533766113,0,2,3,2,0.6666666666666666,-3.431747771135662,-1.0306759346239835,False,1,0.3333333333333333,0.0,1.0,0.0,1.2625163487417477
~/anvil/data/cve-targets/libxml2_repo_xmlmemory.c,768,733,772,},},	},0.7073137760162354,"[[197, 92, 151664]]","[-0.05429964140057564, -0.7070054411888123, -0.6503655314445496]",5.080554962158203,True,0.0,-1.4116706140339375,-0.4705568713446458,3.0,-0.7613050825893879,-0.38065254129469395,2.0,0.1065062152693004,0,2,2,2,1.0,-1.8581611818759578,-1.0327223456058692,False,1,0.3333333333333333,0.0,1.0,0.0,1.0075318172094778
~/anvil/data/cve-targets/sqlite3_repo_ext_fts5_fts5_hash.c,144,138,166,int nNew = pHash->nSlot*2;,int nNew = pHash->nSlot*2;,  int nNew = pHash->nSlot*2;,0.1500501036643982,"[[220, 526, 308, 3564, 284, 281, 6370, 405, 77, 19877, 9, 17, 26, 151664]]","[-0.027531087398529053, -0.2320006638765335, -0.05734027549624443, -0.05698473006486893, -0.23665422201156616, -0.4895014464855194, -0.00010239553375868127, -0.00019202772818971425, -0.0002169373765354976, -0.0036860634572803974, -0.6167417764663696, -0.001369253732264042, -0.22240188717842102, -0.5369567275047302]",4.175173282623291,True,0.0,-2.4816794943108107,-0.17726282102220076,14.0,-1.9447227668060805,-0.1495940589850831,13.0,0.038127994206728584,0,14,14,14,1.0,-1.0030485480667422,-1.0563640936276366,False,12,0.8571428571428571,0.0,1.0,0.0,0.9896439374769349
~/anvil/data/cve-targets/libsndfile_repo_src_wav.c,902,828,934,"psf_binheader_writef (psf, ""44"", BHW4 (psf->instrument->loop_count), BHW4 (0)) ;","psf_binheader_writef (psf, ""44"", BHW4 (0), BHW4 (0)) ; /* SMPTE offset */","		psf_binheader_writef (psf, ""44"", BHW4 (0), BHW4 (0)) ; /* SMPTE offset */
		psf_binheader_writef (psf, ""44"", BHW4",0.2757978141307831,"[[197, 35009, 69, 21816, 2708, 9165, 69, 320, 1690, 69, 11, 330, 19, 19, 497, 425, 38252, 19, 320, 15, 701, 425, 38252, 19, 320, 15, 593, 2587, 1391, 92800, 2446, 4347, 735, 197, 35009, 69, 21816, 2708, 9165, 69, 320, 1690, 69, 11, 330, 19, 19, 497, 425, 38252, 19]]","[-0.005959954112768173, -0.49790143966674805, -9.524368942948058e-05, -0.012664252892136574, -4.2676016164477915e-05, -0.000259365770034492, -0.0003022690652869642, -0.00015066919149830937, -4.434487345861271e-05, -2.622600959512056e-06, -7.080780778778717e-05, -0.0007005859515629709, -0.18901371955871582, -0.34483587741851807, -0.04399562627077103, -0.0011148196645081043, -3.4689302992774174e-05, -0.0033654500730335712, -0.04469536617398262, -0.3980301022529602, -0.04726364463567734, -0.0018594847060739994, -2.8132995794294402e-05, -0.009147756733000278, -0.0225233044475317, -0.1722533255815506, -0.014048142358660698, -0.31401023268699646, -0.025159083306789398, -1.0236859321594238, -0.00021896349790040404, -1.0582126379013062, -0.36536023020744324, -0.0032844191882759333, -0.29250869154930115, -5.9126061387360096e-05, -0.005910537671297789, -0.00010179955279454589, -0.00018559163436293602, -0.0002208704245276749, -0.00015031162183731794, -2.5510462364763953e-05, -1.4066597032069694e-05, -3.85038583772257e-05, -0.00043275527423247695, -0.1485496610403061, -0.24349988996982574, -0.024623852223157883, -0.0006401873542927206, -1.8000440832111053e-05, -0.0036393855698406696]",6.994617938995361,False,1.0,-5.320953914065512,-0.10433242968755907,51.0,-4.600335172759742,-0.13530397566940416,34.0,0.06987790161996632,1,34,39,29,0.8717948717948718,-2.038357060583759,-1.0157763580714476,True,33,0.6470588235294118,40.0,0.6928104575163399,8.0,2.3575488861520073
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_dir.c,113,82,118,},},	},0.7982873320579529,"[[197, 92, 151643]]","[-0.029652170836925507, -0.7329253554344177, -0.04840141907334328]",4.786284923553467,True,0.0,-0.8109789453446865,-0.2703263151148955,3.0,-0.7625775262713432,-0.3812887631356716,2.0,0.12364829304347459,1,2,2,2,1.0,-2.093655542043612,-1.0403478417646264,False,1,0.3333333333333333,0.0,1.0,0.0,0.9982367924863238
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_pixarlog.c,1152,1136,1165,*/,*/,	 */,0.7570836544036865,"[[197, 639, 151643]]","[-0.05199330300092697, -0.7052992582321167, -0.7385512590408325]",6.052082538604736,True,0.0,-1.4958438202738762,-0.4986146067579587,3.0,-0.7572925612330437,-0.37864628061652184,2.0,0.10670216778513432,1,3,3,3,1.0,-1.9994482797268813,-1.0079415482210352,False,1,0.3333333333333333,0.0,1.0,0.0,1.1007224269795266
~/anvil/data/cve-targets/libxml2_repo_HTMLparser.c,3862,3808,3891,},},    },0.1625088453292846,"[[262, 335, 151664]]","[-0.010597500950098038, -0.18198636174201965, -0.1629076898097992]",7.449480056762695,True,0.0,-0.3554915525019169,-0.11849718416730563,3.0,-0.1925838626921177,-0.09629193134605885,2.0,0.007343535400888172,0,2,2,2,1.0,-1.6876683545296443,-1.027393238508733,False,1,0.3333333333333333,0.0,1.0,0.0,0.9421092567230794
~/anvil/data/cve-targets/libsndfile_repo_src_common.c,616,470,684,"header_put_le_int (psf, size) ;","header_put_le_int (psf, size) ;","						header_put_le_int (psf, size) ;",0.0362000092864036,"[[1144, 20883, 15557, 11751, 4042, 320, 1690, 69, 11, 1379, 8, 2587, 151664]]","[-0.014516220428049564, -0.0007228621980175376, -4.327203714638017e-05, -0.0029500082600861788, -0.0001012035645544529, -0.000587767455726862, -0.0001591317413840443, -4.994744449504651e-05, -0.00023767507809679955, -0.0016578990034759045, -0.0027341386303305626, -0.3883644938468933, -0.356671541929245]",11.028688430786133,True,0.0,-0.7687961616175016,-0.05913816627826936,13.0,-0.41212461968825664,-0.03434371830735472,12.0,0.011408641667027618,0,11,11,11,1.0,-1.054050378658369,-1.1235630914301742,False,11,0.8461538461538461,0.0,1.0,0.0,0.7368150696220942
~/anvil/data/cve-targets/openssl_repo_crypto_asn1_a_int.c,158,85,161,},},    },0.5801618695259094,"[[262, 335, 151664]]","[-0.29913130402565, -0.5797898769378662, -0.07195979356765747]",9.284029006958008,True,0.0,-0.9508809745311737,-0.31696032484372455,3.0,-0.8789211809635162,-0.4394605904817581,2.0,0.019692308637280442,1,2,2,2,1.0,-1.3201681381484236,-1.075610579873487,False,1,0.3333333333333333,0.0,1.0,0.0,0.8597839212431011
