#,CWE,Name,Line Count
1,CWE-787,Out-of-bounds Write,174
2,CWE-703,Improper Check or Handling of Exceptional Conditions,168
3,CWE-125,Out-of-bounds Read,101
4,CWE-416,Use After Free,88
5,CWE-476,NULL Pointer Dereference,77
6,CWE-369,Divide By Zero,56
7,CWE-400,Uncontrolled Resource Consumption,45
8,CWE-190,Integer Overflow or Wraparound,30
9,CWE-20,Improper Input Validation,29
10,CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,24
11,CWE-120,Buffer Copy without Checking Size of Input,23
12,CWE-354,Improper Validation of Integrity Check Value,18
13,CWE-617,Reachable Assertion,16
14,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,14
15,CWE-189,Numeric Errors,14
16,CWE-444,Inconsistent Interpretation of HTTP Requests,13
17,CWE-754,Improper Check for Unusual or Exceptional Conditions,13
18,CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization,12
19,CWE-310,Cryptographic Issues,6
20,CWE-415,Double Free,6
21,CWE-59,Improper Link Resolution Before File Access,6
22,CWE-287,Improper Authentication,4
23,CWE-401,Missing Release of Memory after Effective Lifetime,3
24,CWE-843,Access of Resource Using Incompatible Type,3
25,CWE-191,Integer Underflow (Wrap or Wraparound),2
26,CWE-276,Incorrect Default Permissions,2
27,CWE-399,Resource Management Errors,2
28,CWE-79,Improper Neutralization of Input During Web Page Generation,2
29,CWE-295,Improper Certificate Validation,2
30,CWE-668,Exposure of Resource to Wrong Sphere,1
31,CWE-704,Incorrect Type Conversion or Cast,1
32,CWE-665,Improper Initialization,1
33,CWE-269,Improper Privilege Management,1
34,CWE-345,Insufficient Verification of Data Authenticity,1
35,CWE-824,Access of Uninitialized Pointer,1
36,CWE-122,Heap-based Buffer Overflow,1
37,CWE-924,Improper Enforcement of Message Integrity During Transmission in...,1
38,CWE-908,Use of Uninitialized Resource,1
39,CWE-134,Use of Externally-Controlled Format String,1
40,CWE-284,Improper Access Control,1
,Total,,964
