file,masked_line_no,cntx_start,cntx_end,masked_line,prediction,whole_prediction,loss,generated_tokens,log_prob_scores,first_token_var,exact_match,num_generated_lines,log_seq_prob,normalized_seq_prob,generated_token_length,log_seq_prob_first_line,normalized_log_seq_prob_first_line,first_line_length,seq_prob_first_line_var,vul_label,mask_ast_complexity,pred_ast_complexity,first_line_pred_ast_complexity,mask_pred_ast_ratio,loss_to_pred_ratio,scaled_first_token_var,neg_exact_match,masked_line_token_length,length_ratio,lev_dist,lev_ratio,ast_dist,new_score
~/anvil/data/cve-targets/openssl_repo_crypto_evp_encode.c,151,139,193,if ((ctx->num + inl) < ctx->length) {,if (ctx->num == 0) {,    if (ctx->num == 0) {,0.68359375,"[[262, 421, 320, 3773, 405, 2413, 621, 220, 15, 8, 314, 151664]]","[-0.03928818926215172, -0.06022657826542854, -0.15586671233177185, -0.20751221477985382, -0.001912908861413598, -0.37026724219322205, -0.22883829474449158, -0.008146155625581741, -0.0002454218047205359, -0.48818933963775635, -0.5811793804168701, -0.4970138370990753]",9.062674522399902,False,0.0,-2.638686275022337,-0.2198905229185281,12.0,-2.141672437923262,-0.19469749435666017,11.0,0.0382892250080831,1,25,16,16,1.5625,-3.5110557136793257,-1.0294107604381113,True,15,1.25,20.0,0.5964912280701755,11.0,2.263619021804777
~/anvil/data/cve-targets/libsndfile_repo_src_common.c,1260,1105,1410,} /* psf_strlcpy_crlf */,if (len < destmax - 1),"	if (len < destmax - 1)
	{	/* If the",0.66796875,"[[743, 320, 2892, 366, 3201, 2810, 481, 220, 16, 340, 197, 90, 197, 1057, 1416, 279]]","[-1.153225064277649, -0.031067196279764175, -0.9586961269378662, -0.5072901248931885, -0.4128454029560089, -0.0006976078147999942, -0.46654075384140015, -0.004877810832113028, -0.10550861060619354, -0.16049310564994812, -0.0018341400427743793, -0.4492884874343872, -1.1816552877426147, -0.25478318333625793, -1.684735894203186, -1.569234848022461]",3.1833338737487797,False,1.0,-8.942773644870613,-0.5589233528044133,16.0,-3.803075944131706,-0.345734176739246,11.0,0.14704552481239808,0,3,17,15,0.17647058823529413,-1.9320298510834943,-1.1252406849118664,True,11,0.6875,22.0,0.21739130434782605,14.0,1.7739342277731276
~/anvil/data/cve-targets/openssl_repo_crypto_pkcs7_pk7_doit.c,793,784,824,X509 *x509;,X509 *x509;,"    X509 *x509;
    /* XXXXXXXXXXXXXXXXXXX",0.2021484375,"[[262, 1599, 20, 15, 24, 353, 87, 20, 15, 24, 280, 262, 1391, 19975, 61516, 61516]]","[-0.03041023761034012, -0.04752558842301369, -5.006777428206988e-06, -1.0728830375228426e-06, -5.960462772236497e-07, -0.00739337969571352, -0.0013378250878304243, -7.56950321374461e-05, -1.0251946150674485e-05, -2.169585604860913e-05, -0.5847939252853394, -0.756243109703064, -1.2538396120071411, -2.2124414443969727, -0.03726005554199219, -0.04792564734816551]",9.478473663330078,True,1.0,-4.979285143640652,-0.31120532147754076,16.0,-1.4278183843463808,-0.11898486536219839,12.0,0.06226989333989633,1,7,13,7,0.5384615384615384,-1.6989424401552733,-1.0401672731857112,False,10,0.625,0.0,1.0,0.0,0.9795988032369786
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_dirwrite.c,3257,3122,3530,else,else if,        else if,0.041748046875,"[[286, 770, 421]]","[-0.053910933434963226, -0.04163987562060356, -0.6503431797027588]",6.374305725097656,False,0.0,-0.7458939887583256,-0.24863132958610853,3.0,-0.7458939887583256,-0.24863132958610853,3.0,0.08071130173871827,0,2,5,5,0.4,-0.16791144923086368,-1.038962541106528,True,1,0.3333333333333333,3.0,0.7272727272727273,4.0,1.9081934431600973
~/anvil/data/cve-targets/libxml2_repo_valid.c,694,599,739,if ((ocur == XML_ELEMENT_CONTENT_PLUS) ||,if ((ocur == XML_ELEMENT_CONTENT_OPT) ||,	    if ((ocur == XML_ELEMENT_CONTENT_OPT) ||,0.2421875,"[[2760, 421, 1781, 509, 324, 621, 11874, 27156, 25560, 28264, 8, 1369, 151664]]","[-0.012306353077292442, -0.20570260286331177, -0.33181503415107727, -0.02312675677239895, -6.556489552167477e-06, -0.3512248396873474, -0.0005850272136740386, -2.4676019165781327e-05, -5.495397272170521e-05, -0.46740829944610596, -0.009321501478552818, -0.45584380626678467, -0.08636549115180969]",10.399478912353516,False,0.0,-1.9437858985897947,-0.14952199219921497,13.0,-1.857420407437985,-0.15478503395316542,12.0,0.0346092007102071,0,11,11,11,1.0,-1.5646700059728038,-1.064395115400644,True,11,0.8461538461538461,4.0,0.9382716049382716,1.0,1.9692768952811335
~/anvil/data/cve-targets/poppler_repo_fofi_FoFiTrueType.cc,1313,1022,1326,} else if (needVerticalMetrics && i == t42VmtxTable) {,} else if (needVerticalMetrics && i == t42VmtxTable) {,                } else if (needVerticalMetrics && i == t42VmtxTable) {,0.01141357421875,"[[394, 335, 770, 421, 320, 17046, 18612, 27328, 1009, 600, 621, 259, 19, 17, 53, 90310, 2556, 8, 314, 151664]]","[-0.00040046300273388624, -0.00031192204914987087, -0.0002932118659373373, -0.00045253525604493916, -0.0005852655158378184, -0.0023825373500585556, -0.0041555725038051605, -3.361645576660521e-05, -0.00048792376765049994, -0.0011081513948738575, -4.768258077092469e-05, -4.279521817807108e-05, -4.291525328881107e-06, -1.4066597032069694e-05, -0.00018225439998786896, -0.003930226434022188, -0.00041237910045310855, -0.10069402307271957, -0.09018615633249283, -0.04650026932358742]",16.38541603088379,True,0.0,-0.25222534374643146,-0.012611267187321574,20.0,-0.20572507442284405,-0.01082763549593916,19.0,0.000846645824317541,1,15,15,15,1.0,-1.0541151134087026,-1.2362159974802087,False,18,0.9,0.0,1.0,0.0,0.5627609786149892
~/anvil/data/cve-targets/openssl_repo_crypto_x509_v3_addr.c,1020,865,1170,},},"}
",1.7109375,[[532]],[-0.21364644169807434],15.098090171813965,True,1.0,-0.21364644169807434,-0.21364644169807434,1.0,-0.21364644169807434,-0.21364644169807434,1.0,0.0,0,2,2,2,1.0,-8.008265835842476,-1.1970640722863393,False,1,1.0,0.0,1.0,0.0,0.6985158635959245
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_dirread.c,5739,5720,5775,return;,return;,"            return;
       ",0.7734375,"[[310, 470, 280, 286]]","[-0.32976657152175903, -0.08300326019525528, -0.36591827869415283, -1.1718974113464355]",4.613889694213867,True,1.0,-1.9505855217576027,-0.4876463804394007,4.0,-1.9505855217576027,-0.4876463804394007,4.0,0.1679198232191576,0,4,4,4,1.0,-1.5860622184934157,-1.0857088149976035,False,2,0.5,0.0,1.0,0.0,0.8950252124790867
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_jbig.c,100,39,108,"decodedSize, (unsigned long)size);","decodedSize, size);","	                   decodedSize, size);",0.52734375,"[[197, 4293, 29213, 1695, 11, 1379, 1215, 151664]]","[-0.2677118480205536, -0.1738433539867401, -0.034979190677404404, -0.0001062098381225951, -0.010184463113546371, -0.08530044555664062, -0.44390007853507996, -0.11340106278657913]",2.8756940364837646,False,0.0,-1.1294266525146668,-0.14117833156433335,8.0,-1.0160255897280877,-0.14514651281829824,7.0,0.022867042585464396,1,14,7,7,2.0,-3.6331823600898745,-1.1339282717154557,True,8,1.0,15.0,0.7169811320754718,11.0,1.861948923639654
~/anvil/data/cve-targets/libpng_repo_pngrutil.c,2365,2347,2397,limit = PNG_USER_CHUNK_MALLOC_MAX;,limit = PNG_USER_CHUNK_MALLOC_MAX;,      limit = PNG_USER_CHUNK_MALLOC_MAX;,0.07470703125,"[[414, 3930, 284, 41639, 9107, 70508, 86753, 6806, 26, 151664]]","[-0.01604115217924118, -0.0017951102927327156, -0.000552263343706727, -0.13041391968727112, -0.002540576970204711, -0.0001267114421352744, -0.00041786045767366886, -0.00015078838623594493, -0.4898524880409241, -0.12329615652561188]",8.087499618530273,True,0.0,-0.7651870273257373,-0.07651870273257373,10.0,-0.6418908708001254,-0.0713212078666806,9.0,0.02349448135273926,0,7,7,7,1.0,-1.0474728833764069,-1.0046178181131282,False,8,0.8,0.0,1.0,0.0,1.0539112332224512
