file,masked_line_no,cntx_start,cntx_end,masked_line,prediction,whole_prediction,loss,generated_tokens,log_prob_scores,first_token_var,exact_match,num_generated_lines,log_seq_prob,normalized_seq_prob,generated_token_length,log_seq_prob_first_line,normalized_log_seq_prob_first_line,first_line_length,seq_prob_first_line_var,vul_label,mask_ast_complexity,pred_ast_complexity,first_line_pred_ast_complexity,mask_pred_ast_ratio,loss_to_pred_ratio,scaled_first_token_var,neg_exact_match,masked_line_token_length,length_ratio,lev_dist,lev_ratio,ast_dist,new_score
~/anvil/data/cve-targets/libsndfile_repo_src_flac.c,8,-147,158,** (at your option) any later version.,** (at your option) any later version.,"** (at your option) any later version.
**
** This program",0.0280531756579875,"[[742, 334, 253, 518, 3464, 8, 683, 3455, 2615, 13, 185, 742, 185, 742, 997, 2031]]","[-0.0042641907930374146, -0.005003193859010935, -0.2002413421869278, -0.000263894529780373, -0.001946580014191568, -0.0013097288319841027, -0.01939043402671814, -6.067568756407127e-05, -0.00036149643710814416, -0.04336560145020485, -0.012037727050483227, -0.1667202115058899, -0.40458551049232483, -0.0029882797971367836, -0.04194044694304466, -0.013525983318686485]",10.825183868408203,True,2.0,-0.9180052969240933,-0.05737533105775583,16.0,-0.2882448648670106,-0.026204078624273694,11.0,0.003181254459003606,0,16,23,16,0.6956521739130435,-1.070565237581028,-1.0578463403432474,False,10,0.625,0.0,1.0,0.0,1.0127765163421474
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_print.c,262,208,627,break;,break;,"				break;
			case",0.0505212061107158,"[[1749, 20702, 26, 185, 459, 14288]]","[-0.13662897050380707, -0.09037306159734726, -0.00036042393185198307, -0.3869827389717102, -0.0013892533024773002, -0.0013099670177325606]",17.386070251464844,True,1.0,-0.6170444153249264,-0.10284073588748772,6.0,-0.6157344483071938,-0.12314688966143876,5.0,0.020153336773834223,0,4,5,4,0.8,-0.41025158044682314,-1.246397320691517,False,2,0.3333333333333333,0.0,1.0,0.0,0.38986225763050086
~/anvil/data/cve-targets/libsndfile_repo_src_alaw.c,326,320,332,{,{,		{,3.61046314239502,"[[184, 5849, 32014]]","[-0.04796314612030983, -0.08991772681474686, -0.15740720927715302]",6.971527099609375,True,0.0,-0.1378808729350567,-0.06894043646752834,2.0,-0.1378808729350567,-0.06894043646752834,2.0,0.000440046710311507,1,2,2,2,1.0,-52.37076130342728,-1.0409214518822543,False,1,0.5,0.0,1.0,0.0,1.3466978714864049
~/anvil/data/cve-targets/sqlite3_repo_src_expr.c,5730,5707,5837,"assert( !ExprHasProperty(pExpr, EP_TokenOnly|EP_Reduced) );",if( pCol->iTable==pExpr->iTable &&,"          if( pCol->iTable==pExpr->iTable &&
              pCol->iColumn==pExpr->iColumn ){",0.4261305630207062,"[[1574, 562, 7, 265, 2608, 12, 29, 72, 5127, 780, 79, 20567, 12, 29, 72, 5127, 2956, 185, 3462, 265, 2608, 12, 29, 72, 8517, 780, 79, 20567, 12, 29, 72, 8517, 2189, 90]]","[-0.018919719383120537, -0.2111196368932724, -0.0015140033792704344, -0.12508708238601685, -0.4266168177127838, -0.0684596374630928, -1.3589766240329482e-05, -0.3179526627063751, -0.20126010477542877, -0.05435563996434212, -0.01615259237587452, -0.02111935429275036, -7.319182623177767e-05, -7.629365427419543e-06, -0.024494508281350136, -0.011738277971744537, -0.13121865689754486, -0.1613527238368988, -0.014662250876426697, -0.0053537567146122456, -0.0006690170848742127, -6.079655122448457e-06, -8.344646857949556e-07, -0.0016964580863714218, -0.0038239466957747936, -0.0005212855176068842, -0.0010433712741360068, -0.0003311085747554898, -1.5735502529423684e-05, -3.576278118089249e-07, -0.0016598032088950276, -0.0005613181856460869, -0.06353873014450073, -0.02055521309375763]",6.4689249992370605,False,1.0,-1.9058950959852723,-0.05605573811721389,34.0,-1.8061180801541923,-0.09505884632390486,19.0,0.013949812869195341,0,21,31,14,0.6774193548387096,-4.482808065739645,-1.054083200449269,True,21,0.6176470588235294,47.0,0.30107526881720426,20.0,2.1292639406522347
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_dirwrite.c,2004,1971,2023,"if (!_TIFFmemcmp(tif->tif_dir.td_transferfunction[0],tif->tif_dir.td_transferfunction[1],m*sizeof(uint16_t)))","if (!_TIFFmemcmp(tif->tif_dir.td_transferfunction[0],tif->tif_dir.td_transferfunction[1],m*sizeof(uint16_t)))","		if (!_TIFFmemcmp(tif->tif_dir.td_transferfunction[0],tif->tif_dir.td_transferfunction[1],m*sizeof(uint16_t)))",0.0219935979694128,"[[184, 2944, 5036, 62, 22938, 3681, 7253, 66, 2782, 7, 83, 351, 12, 29, 83, 351, 62, 5634, 13, 1735, 62, 1831, 3994, 3344, 58, 15, 2705, 83, 351, 12, 29, 83, 351, 62, 5634, 13, 1735, 62, 1831, 3994, 3344, 58, 16, 2705, 76, 9, 3017, 990, 7, 9842, 16, 21, 62, 83, 13773, 32014]]","[-0.005434738472104073, -0.09018398076295853, -0.12072639912366867, -0.00915460754185915, -0.00010692501382436603, -8.344646857949556e-07, -0.001758220954798162, -0.00110600795596838, -6.544376083184034e-05, -0.026782440021634102, -0.0015827997121959925, -2.622600959512056e-06, -7.390948667307384e-06, -4.291525328881107e-06, -7.390948667307384e-06, -2.3841855067985307e-07, -3.4570634852570947e-06, -3.4927710657939315e-05, -5.602820692729438e-06, -2.4914430468925275e-05, -3.6954811548639555e-06, -0.0016382618341594934, -4.172316494077677e-06, -1.6689160474925302e-05, -0.0010186012368649244, -0.729126513004303, -0.002372904447838664, -0.019066747277975082, -4.768370445162873e-07, -9.894321920000948e-06, 0.0, -1.597391747054644e-05, -9.536738616588991e-07, -2.6464111215318553e-05, -0.00015901254664640874, -5.245071224635467e-05, -0.0001234931987710297, -0.0001012035645544529, -0.004542152397334576, -2.6464111215318553e-05, -7.462222856702283e-05, -0.0010886224918067455, -0.06324994564056396, -0.0004689785710070282, -0.08434569835662842, -0.00500698946416378, -0.007588962092995644, -5.602820692729438e-06, -0.00011467275908216834, -0.0013711584033444524, -0.001492934999987483, -1.1920928244535389e-07, -4.6491513785440475e-06, -2.3841855067985307e-07, -0.014994177967309952, -0.3998605012893677]",7.700694561004639,True,0.0,-1.1951067309789138,-0.021729213290525705,55.0,-1.1951067309789138,-0.022131606129239145,54.0,0.009836792531133468,1,50,50,50,1.0,-0.9937642049555537,-1.0221182052087046,False,54,0.9818181818181818,0.0,1.0,0.0,1.4911097078560034
~/anvil/data/cve-targets/poppler_repo_fofi_FoFiType1C.cc,1222,1211,1225,if(ok) {,if (ok) {,"                    if (ok) {
                        if (",1.164769411087036,"[[1817, 562, 334, 541, 8, 507, 185, 3081, 562, 334]]","[-0.1432817280292511, -0.3530921936035156, -0.07422900199890137, -0.08417651057243347, -0.12433614581823349, -0.03641555830836296, -0.4856714606285095, -0.015178886242210865, -1.6747280359268188, -0.11135777086019516]",9.84462070465088,False,1.0,-3.1024672919884324,-0.3102467291988432,10.0,-1.3163814852014184,-0.1645476856501773,8.0,0.024260573739810613,1,10,9,10,1.1111111111111112,-7.0786131478220575,-1.0322294811796047,True,5,0.5,1.0,0.9411764705882353,0.0,2.153577905996483
~/anvil/data/cve-targets/poppler_repo_splash_Splash.cc,5090,5076,5179,},},"    }
   ",0.0001864259538706,"[[315, 611, 185, 315]]","[-0.0016245751176029444, -0.00017951308109331876, -0.27710938453674316, -0.02657107450067997]",16.489582061767578,True,1.0,-0.3054845472361194,-0.07637113680902985,4.0,-0.3054845472361194,-0.07637113680902985,4.0,0.01354202557942452,1,2,2,2,1.0,-0.002441052492602908,-1.2187735201786918,False,1,0.25,0.0,1.0,0.0,0.4325201963636612
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_dirread.c,5739,5720,5775,return;,{,"        {
            return;",0.0758858174085617,"[[436, 507, 185, 655, 967, 26]]","[-1.2456051111221313, -0.02403666451573372, -0.02512955665588379, -0.5643367767333984, -1.7028805017471313, -0.009618132375180721]",1.7784714698791504,False,1.0,-3.5716067431494594,-0.5952677905249099,6.0,-1.8591081090271473,-0.4647770272567868,4.0,0.2517866515058895,0,4,7,2,0.5714285714285714,-0.16327359778613842,-1.1852251103020324,True,2,0.3333333333333333,7.0,0.0,3.0,1.551808917311859
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_dir.c,248,243,249,{,goto bad,            goto bad,0.0277929194271564,"[[655, 2138, 78, 3794]]","[-0.8257785439491272, -0.8572142720222473, -0.0002903516869992018, -0.048313166946172714]",3.7890625,False,0.0,-1.7315963346045464,-0.4328990836511366,4.0,-1.7315963346045464,-0.4328990836511366,4.0,0.16736357292646697,1,2,5,5,0.4,-0.06420184397884768,-1.1271225253483756,True,1,0.25,8.0,0.0,4.0,1.6738528495527567
~/anvil/data/cve-targets/lua_repo_lvm.c,884,783,922,}},}},"  }}
/*",0.0489352010190486,"[[207, 17679, 185, 4350]]","[-0.0040199910290539265, -0.06240897998213768, -0.015000872313976288, -0.02827094867825508]",9.958334922790527,True,1.0,-0.10970079200342298,-0.027425198000855744,4.0,-0.0814298433251679,-0.0271432811083893,3.0,0.0006419313841592086,0,3,5,3,0.6,-1.8028476669286666,-1.0351681354950126,False,1,0.25,0.0,1.0,0.0,0.9265262303591729
