file,masked_line_no,cntx_start,cntx_end,masked_line,prediction,whole_prediction,loss,generated_tokens,log_prob_scores,first_token_var,exact_match,num_generated_lines,log_seq_prob,normalized_seq_prob,generated_token_length,log_seq_prob_first_line,normalized_log_seq_prob_first_line,first_line_length,seq_prob_first_line_var,vul_label,mask_ast_complexity,pred_ast_complexity,first_line_pred_ast_complexity,mask_pred_ast_ratio,loss_to_pred_ratio,scaled_first_token_var,neg_exact_match,masked_line_token_length,length_ratio,lev_dist,lev_ratio,ast_dist,new_score
~/anvil/data/cve-targets/libxml2_repo_parser.c,3215,3152,3216,"return(xmlDictLookup(ctxt->dict, (end - len), len));",if (len == 0),"    if (len == 0)
	return(NULL);
    ctxt->input->cur = end;
    return(xmlDictLookup",0.8730890154838562,"[[315, 562, 334, 6446, 7400, 15, 8, 185, 3404, 7, 14589, 477, 185, 315, 258, 9313, 12, 29, 3584, 12, 29, 1862, 405, 1223, 26, 185, 315, 967, 7, 7056, 35, 965, 9610, 393]]","[-0.07700876146554947, -1.046399474143982, -0.14670991897583008, -1.04103422164917, -0.8994314074516296, -0.011834177188575268, -0.0030730189755558968, -0.5772494077682495, -0.4190831780433655, -0.016792841255664825, -0.043070822954177856, -0.00022968991834204644, -0.02207178808748722, -0.09634288400411606, -1.5873092412948608, -0.01176148746162653, -0.00031382881570607424, -2.861018856492592e-06, -0.2242370992898941, -0.008992175571620464, -3.4570634852570947e-06, -0.14413613080978394, -0.05106624215841293, -0.0325942300260067, -0.013309326022863388, -0.032634615898132324, -0.0996994823217392, -1.399275779724121, -0.5173087120056152, -0.33583492040634155, -0.5083262920379639, -0.004211960360407829, -0.13050390779972076, -1.7881377516459906e-06]",7.520877361297607,False,3.0,-9.501855130106605,-0.2794663273560766,34.0,-3.8027403876185417,-0.4753425484523177,8.0,0.19261214744040805,1,26,33,12,0.7878787878787878,-1.8367575516363375,-1.0481945956534233,True,21,0.6176470588235294,44.0,0.24615384615384617,23.0,2.3048065039204664
~/anvil/data/cve-targets/sqlite3_repo_ext_misc_zipfile.c,1509,1401,1575,nPath++;,nPath = (int)strlen,          nPath = (int)strlen,0.3223673701286316,"[[1574, 291, 4693, 405, 334, 569, 8, 2006, 6446]]","[-0.0015101945027709007, -0.024993648752570152, -7.724463648628443e-05, -0.7434853911399841, -0.2922169864177704, -0.006352589000016451, -0.023307988420128822, -0.005835401825606823, -0.0011428022990003228]",11.45872402191162,False,0.0,-1.0989222469943343,-0.12210247188825936,9.0,-1.0989222469943343,-0.12210247188825936,9.0,0.056136235108171534,1,6,12,12,0.5,-2.6401379525194404,-1.0527196043018692,True,4,0.4444444444444444,14.0,0.37037037037037035,9.0,1.9304228401354224
~/anvil/data/cve-targets/libxml2_repo_valid.c,1205,1186,1278,case XML_ELEMENT_CONTENT_ELEMENT: {,case XML_ELEMENT_CONTENT_ELEMENT: {,        case XML_ELEMENT_CONTENT_ELEMENT: {,0.120392732322216,"[[436, 1452, 17170, 62, 36, 29174, 62, 25563, 4208, 62, 36, 29174, 25, 507, 32014]]","[-0.4433993101119995, -0.004385853186249733, -0.0007241725688800216, -1.0609570381348021e-05, -6.687417771900073e-05, 0.0, -3.576278118089249e-07, -0.0002325502864550799, -1.0728830375228426e-06, -3.2305197237292305e-05, -0.13529415428638458, -0.12921442091464996, -0.0014959108084440231, -0.23606929183006287, -0.5802459120750427]",7.199478149414063,True,0.0,-0.9509268834493128,-0.06792334881780805,14.0,-0.9509268834493128,-0.0731482218037933,13.0,0.01591174662121778,1,6,6,6,1.0,-1.645873670656649,-1.0566507455813656,False,13,0.9285714285714286,0.0,1.0,0.0,0.8682093607017908
~/anvil/data/cve-targets/php_repo_ext_phar_util.c,1391,1252,1478,PHP_SHA256_CTX context;,PHP_SHA256_CTX context;,			PHP_SHA256_CTX context;,0.0087823225185275,"[[459, 184, 24080, 62, 8019, 32, 17, 20, 21, 62, 2068, 55, 3723, 26, 32014]]","[-0.0005092516075819731, -0.00013684290752280504, -0.0006393534131348133, -8.106198947643861e-06, -4.7801782784517854e-05, -1.4305104514278355e-06, -0.0003137096355203539, -0.00013815402053296566, -1.5497195136049413e-06, -0.00015662873920518905, -6.0794889577664435e-05, -1.9073468138230965e-06, -0.09261504560709, -8.749579137656838e-05, -0.002963082632049918]",14.59500789642334,True,0.0,-0.09471807217005335,-0.006765576583575239,14.0,-0.09471807217005335,-0.006765576583575239,14.0,0.000566969062916145,1,5,5,5,1.0,-1.2980892921747877,-1.1385824364402495,False,12,0.8571428571428571,0.0,1.0,0.0,0.5324046948878715
~/anvil/data/cve-targets/libtiff_repo_libtiff_tif_predict.c,26,-129,176,*,*," *
 *",0.0299758035689592,"[[572, 185, 572]]","[-0.029975803568959236, -0.5739167928695679, -0.00650881789624691]",18.194486618041992,True,1.0,-0.610401414334774,-0.20346713811159134,3.0,-0.6038925964385271,-0.30194629821926355,2.0,0.07396794996033121,0,2,3,2,0.6666666666666666,-0.09927528088849677,-1.2457913866226173,False,1,0.3333333333333333,0.0,1.0,0.0,0.11345332501363692
~/anvil/data/cve-targets/libsndfile_repo_src_double64.c,76,70,214,if (psf->sf.channels < 1),if (psf->sf.channels < 1 || psf->sf.channels,	if (psf->sf.channels < 1 || psf->sf.channels,0.3376115560531616,"[[2944, 334, 829, 69, 12, 29, 5274, 13, 358, 9982, 8086, 16, 1550, 265, 5274, 12, 29, 5274, 13, 358, 9982]]","[-0.6769186854362488, -0.09867209941148758, -0.05417769029736519, -6.210611172718927e-05, -0.08851467072963715, -1.6689286894688848e-06, -0.9057072997093201, -0.002745432546362281, -0.1428963541984558, -9.917721035890281e-05, -1.190858244895935, -0.07434908300638199, -0.4036117494106293, -0.012154324911534786, -1.1920928244535389e-07, -0.00013207517622504383, -9.536738616588991e-07, -0.0027069137431681156, -1.680836794548668e-05, -0.00177952169906348, -2.0265558760002023e-06]",4.756249904632568,False,0.0,-3.6554070052295558,-0.17406700024902647,21.0,-3.6554070052295558,-0.17406700024902647,21.0,0.1080906613342586,1,18,22,22,0.8181818181818182,-1.9395494583704118,-1.1232035758977028,True,13,0.6190476190476191,20.0,0.6956521739130435,11.0,1.8140728908628752
~/anvil/data/cve-targets/lua_repo_ldo.c,446,291,596,"** to be executed, if it was a Lua function. Otherwise (a C function)","** for the call, or NULL if the call is a C function.","** for the call, or NULL if the call is a C function.
** If the function is a C function, it is called and the",1.1961817741394043,"[[742, 327, 254, 1280, 11, 409, 4579, 562, 254, 1280, 317, 245, 339, 1155, 13, 185, 742, 1271, 254, 1155, 317, 245, 339, 1155, 11, 359, 317, 2414, 285, 254]]","[-0.03875530883669853, -1.5804413557052612, -0.23511762917041779, -0.9020058512687683, -1.0671412944793701, -0.7678170204162598, -0.33475789427757263, -0.309849351644516, -1.1187243461608887, -0.7674639225006104, -1.0461633205413818, -1.327509880065918, -1.4175753593444824, -0.20402279496192932, -0.7302532196044922, -1.1833401918411255, -0.07325176894664764, -1.651323676109314, -1.1165845394134521, -0.848548412322998, -0.44979536533355713, -0.25096017122268677, -0.6037001013755798, -0.050512176007032394, -0.1271214336156845, -1.6712980270385742, -0.7351175546646118, -0.5233958959579468, -1.1715776920318604, -1.0045392513275146]",14.850520133972168,False,1.0,-23.308664806187153,-0.7769554935395717,30.0,-13.030938740819693,-0.8144336713012308,16.0,0.21085960007467242,0,24,39,20,0.6153846153846154,-1.468728290946333,-1.1458787590258859,True,19,0.6333333333333333,41.0,0.540983606557377,24.0,2.003481153132617
~/anvil/data/cve-targets/sqlite3_repo_src_vdbemem.c,1078,1001,1083,#endif,#endif,"#endif
 ",0.0165709070861339,"[[2, 9239, 185, 207]]","[-0.016657555475831032, -0.016470657661557198, -0.25796133279800415, -0.06253518909215927]",14.060980796813965,True,1.0,-0.35362473502755165,-0.08840618375688791,4.0,-0.35362473502755165,-0.08840618375688791,4.0,0.009935210626530709,0,2,3,2,0.6666666666666666,-0.1874405882251741,-1.1234826102727775,False,2,0.5,0.0,1.0,0.0,0.555075345211666
~/anvil/data/cve-targets/libxml2_repo_xmlstring.c,649,628,685,goto error;,goto error;,                goto error;,9.011491056298836e-05,"[[1044, 2138, 78, 2179, 26, 32014]]","[-0.010753540322184563, -0.00021217002358753234, -9.536738616588991e-07, -0.00012766500003635883, -2.8371408916427754e-05, -0.016314569860696793]",6.968923568725586,True,0.0,-0.01112270042858654,-0.002224540085717308,5.0,-0.01112270042858654,-0.002224540085717308,5.0,1.8191571362702914e-05,0,5,5,5,1.0,-0.04050945682731116,-1.062758723188614,False,3,0.6,0.0,1.0,0.0,0.8060918122848684
~/anvil/data/cve-targets/sqlite3_repo_src_window.c,870,847,878,pSub->flags &= ~(EP_IntValue|EP_IsTrue|EP_IsFalse);,pSub->flags &= ~EP_xIsInt;,          pSub->flags &= ~EP_xIsInt;,1.0470589399337769,"[[1574, 265, 5716, 12, 29, 17614, 573, 4084, 93, 16903, 62, 87, 3098, 3373, 26, 32014]]","[-0.039887912571430206, -0.4267432689666748, -0.048570748418569565, -0.004146312829107046, -3.099436753473128e-06, -1.5372967720031738, -0.7947936058044434, -0.07004482299089432, -0.034095894545316696, -0.44453972578048706, -0.03206354379653931, -1.8268744945526123, -0.03357430547475815, -0.8604831099510193, -0.37962019443511963, -0.6414287090301514]",9.766536712646484,False,0.0,-6.532737811556899,-0.4355158541037933,15.0,-6.532737811556899,-0.4355158541037933,15.0,0.31758648662408784,1,21,12,12,1.75,-2.4041809960935177,-1.0091135096770831,True,24,1.6,28.0,0.5974025974025974,10.0,2.431388236305762
